staging.directvplay.com,dtv-cert.tbxnet.com,Subdomain Takeover,High
directvla.com,http://directvla.com/countries.aspx?urlfrom=/wEPDwUKMTYwODUyODg3MA9kFgICAQ9kFgYCAQ8WAh4EaHJlZgUYaHR0cDovL2RpcmVjdHZsYS5jb20vbmJhZAIDD2QWAgIBDxYCHgNzcmMFHGNvdW50cmllczIuYXNweD91cmxmcm9tPS9uYmFkAh8PFgIfAAUYaHR0cDovL2RpcmVjdHZsYS5jb20vbmJhZGQ=,Phishing,low
directvla.com,http://directvla.com/countries.aspx?urlfrom=/wEPDwUKMTYwODUyODg3MA9kFgICAQ9kFgYCAQ8WAh4EaHJlZgUYaHR0cDovL2RpcmVjdHZsYS5jb20vbmJhZAIDD2QWAgIBDxYCHgNzcmMFHGNvdW50cmllczIuYXNweD91cmxmcm9tPS9uYmFkAh8PFgIfAAUYaHR0cDovL2RpcmVjdHZsYS5jb20vbmJhZGSz0pcxMe0ENZwSoLEcNBClr+c9Lw==,Phishing,low
directvla.com,http://directvla.com/countries.aspx?urlfrom=/wEPDwUKMTYwODUyODg3MA9kFgICAQ9kFgYCAQ8WAh4EaHJlZgUbaHR0cDovL2RpcmVjdHZsYS5jb20vYWNjZXNzZAIDD2QWAgIBDxYCHgNzcmMFH2NvdW50cmllczIuYXNweD91cmxmcm9tPS9hY2Nlc3NkAh8PFgIfAAUbaHR0cDovL2RpcmVjdHZsYS5jb20vYWNjZXNzZGQ=,Phishing,low
directvla.com,http://directvla.com/countries.aspx?urlfrom=/wEPDwUKMTYwODUyODg3MA9kFgICAQ9kFgYCAQ8WAh4EaHJlZgUbaHR0cDovL2RpcmVjdHZsYS5jb20vZW1wbGVvZAIDD2QWAgIBDxYCHgNzcmMFH2NvdW50cmllczIuYXNweD91cmxmcm9tPS9lbXBsZW9kAh8PFgIfAAUbaHR0cDovL2RpcmVjdHZsYS5jb20vZW1wbGVvZGS05asfqdwbQpNE5mFWVwkPa5LMew==,Phishing,low
directvla.com,http://directvla.com/countries.aspx?urlfrom=/wEPDwUKMTYwODUyODg3MA9kFgICAQ9kFgYCAQ8WAh4EaHJlZgUdaHR0cDovL2RpcmVjdHZsYS5jb20vbGlnYUJCVkFkAgMPZBYCAgEPFgIeA3NyYwUhY291bnRyaWVzMi5hc3B4P3VybGZyb209L2xpZ2FCQlZBZAIfDxYCHwAFHWh0dHA6Ly9kaXJlY3R2bGEuY29tL2xpZ2FCQlZBZGQ=,Phishing,low
directvla.com,http://directvla.com/countries.aspx?urlfrom=/wEPDwUKMTYwODUyODg3MA9kFgICAQ9kFgYCAQ8WAh4EaHJlZgUdaHR0cDovL2RpcmVjdHZsYS5jb20vbGlnYUJCVkFkAgMPZBYCAgEPFgIeA3NyYwUhY291bnRyaWVzMi5hc3B4P3VybGZyb209L2xpZ2FCQlZBZAIfDxYCHwAFHWh0dHA6Ly9kaXJlY3R2bGEuY29tL2xpZ2FCQlZBZGSdo7spQ5VpooYjWLhLUIyKazHf0Q==,Phishing,low
directvla.com,http://directvla.com/countries.aspx?urlfrom=/wEPDwUKMTYwODUyODg3MA9kFgICAQ9kFgYCAQ8WAh4EaHJlZgUeaHR0cDovL2RpcmVjdHZsYS5jb20vb25kaXJlY3R2ZAIDD2QWAgIBDxYCHgNzcmMFImNvdW50cmllczIuYXNweD91cmxmcm9tPS9vbmRpcmVjdHZkAh8PFgIfAAUeaHR0cDovL2RpcmVjdHZsYS5jb20vb25kaXJlY3R2ZGQ=,Phishing,low
directvla.com,http://directvla.com/countries.aspx?urlfrom=/wEPDwUKMTYwODUyODg3MA9kFgICAQ9kFgYCAQ8WAh4EaHJlZgUeaHR0cDovL2RpcmVjdHZsYS5jb20vbW92aWVjaXR5ZAIDD2QWAgIBDxYCHgNzcmMFImNvdW50cmllczIuYXNweD91cmxmcm9tPS9tb3ZpZWNpdHlkAh8PFgIfAAUeaHR0cDovL2RpcmVjdHZsYS5jb20vbW92aWVjaXR5ZGQ=,Phishing,low
directvla.com,http://directvla.com/countries.aspx?urlfrom=/wEPDwUKMTYwODUyODg3MA9kFgICAQ9kFgYCAQ8WAh4EaHJlZgUhaHR0cDovL2RpcmVjdHZsYS5jb20vbGlnYWl0YWxpYW5hZAIDD2QWAgIBDxYCHgNzcmMFJWNvdW50cmllczIuYXNweD91cmxmcm9tPS9saWdhaXRhbGlhbmFkAh8PFgIfAAUhaHR0cDovL2RpcmVjdHZsYS5jb20vbGlnYWl0YWxpYW5hZGQ=,Phishing,low
directvla.com,http://directvla.com/countries.aspx?urlfrom=/youtube-ondirectv,Phishing,low
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/Rejected-By-UrlScan,Phishing,low
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/access,Phishing,low
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/cinema,Phishing,low
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/contactenos,Phishing,low
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/decodificadores,Phishing,low
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/directvcinemaplus,Phishing,low
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/directvcinemaplusbeca,Phishing,low
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/directvcinemaplusbecas,Phishing,low
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/dvrscheduler,Phishing,low
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/empleo,Phishing,low
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/fans,Phishing,low
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/kingdom,Phishing,low
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/ligaBBVA,Phishing,low
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/ligaitaliana,Phishing,low
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/manchester,Phishing,low
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/moviecity,Phishing,low
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/nba,Phishing,low
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/nfl,Phishing,low
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/ondirectv,Phishing,low
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/pnc-cds,Phishing,low
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/uefa-champions-league,Phishing,low
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/wEPDwUJNTYwNzM5MTc5D2QWAgIBD2QWAgIBDxYCHglpbm5lcmh0bWwFFC9SZWplY3RlZC1CeS1VcmxTY2FuZGQ=,Phishing,low
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/wEPDwUJNTYwNzM5MTc5D2QWAgIBD2QWAgIBDxYCHglpbm5lcmh0bWwFFC9SZWplY3RlZC1CeS1VcmxTY2FuZGSDqhQYQsayFU%20XTAReGMAOiFHbZA==,Phishing,low
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/wEPDwUJNTYwNzM5MTc5D2QWAgIBD2QWAgIBDxYCHglpbm5lcmh0bWwFFC9SZWplY3RlZC1CeS1VcmxTY2FuZGSwTzh4clojMPx0li6Fm02IfDqQew==,Phishing,low
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/wEPDwUJNTYwNzM5MTc5D2QWAgIBD2QWAgIBDxYCHglpbm5lcmh0bWwFFC9SZWplY3RlZC1CeS1VcmxTY2FuZGTyKjf8OEZ%20z7Wxto3alAHqmppNRg==,Phishing,low
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/wEPDwUJNTYwNzM5MTc5D2QWAgIBD2QWAgIBDxYCHglpbm5lcmh0bWwFWC93RVBEd1VKTlRZd056TTVNVGM1RDJRV0FnSUJEMlFXQWdJQkR4WUNIZ2xwYm01bGNtaDBiV3dGRkM5U1pXcGxZM1JsWkMxQ2VTMVZjbXhUWTJGdVpHUT1kZA==,Phishing,low
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/wEPDwUJNTYwNzM5MTc5D2QWAgIBD2QWAgIBDxYCHglpbm5lcmh0bWwFdC93RVBEd1VKTlRZd056TTVNVGM1RDJRV0FnSUJEMlFXQWdJQkR4WUNIZ2xwYm01bGNtaDBiV3dGRkM5U1pXcGxZM1JsWkMxQ2VTMVZjbXhUWTJGdVpHU0RxaFFZUXNheUZVIFhUQVJlR01BT2lGSGJaQT09ZGS0l4f6lJXdAhVLXIyRpPsjfqkaug==,Phishing,low
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/wEPDwUJNTYwNzM5MTc5D2QWAgIBD2QWAgIBDxYCHglpbm5lcmh0bWwFdC93RVBEd1VKTlRZd056TTVNVGM1RDJRV0FnSUJEMlFXQWdJQkR4WUNIZ2xwYm01bGNtaDBiV3dGRkM5U1pXcGxZM1JsWkMxQ2VTMVZjbXhUWTJGdVpHU3dUemg0Y2xvak1QeDBsaTZGbTAySWZEcVFldz09ZGQ1ZtOhM8cJ8Lg7Tty3iFsaxW%20wJg==,Phishing,low
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/wEPDwUJNTYwNzM5MTc5D2QWAgIBD2QWAgIBDxYCHglpbm5lcmh0bWwFdC93RVBEd1VKTlRZd056TTVNVGM1RDJRV0FnSUJEMlFXQWdJQkR4WUNIZ2xwYm01bGNtaDBiV3dGRkM5U1pXcGxZM1JsWkMxQ2VTMVZjbXhUWTJGdVpHU3dUemg0Y2xvak1QeDBsaTZGbTAySWZEcVFldz09ZGQ=,Phishing,low
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/wEPDwUKMTYwODUyODg3MA9kFgICAQ9kFgYCAQ8WAh4EaHJlZgUYaHR0cDovL2RpcmVjdHZsYS5jb20vbmJhZAIDD2QWAgIBDxYCHgNzcmMFHGNvdW50cmllczIuYXNweD91cmxmcm9tPS9uYmFkAh8PFgIfAAUYaHR0cDovL2RpcmVjdHZsYS5jb20vbmJhZGQ=,Phishing,low
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/wEPDwUKMTYwODUyODg3MA9kFgICAQ9kFgYCAQ8WAh4EaHJlZgUYaHR0cDovL2RpcmVjdHZsYS5jb20vbmJhZAIDD2QWAgIBDxYCHgNzcmMFHGNvdW50cmllczIuYXNweD91cmxmcm9tPS9uYmFkAh8PFgIfAAUYaHR0cDovL2RpcmVjdHZsYS5jb20vbmJhZGSz0pcxMe0ENZwSoLEcNBClr%20c9Lw==,Phishing,low
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/wEPDwUKMTYwODUyODg3MA9kFgICAQ9kFgYCAQ8WAh4EaHJlZgUbaHR0cDovL2RpcmVjdHZsYS5jb20vYWNjZXNzZAIDD2QWAgIBDxYCHgNzcmMFH2NvdW50cmllczIuYXNweD91cmxmcm9tPS9hY2Nlc3NkAh8PFgIfAAUbaHR0cDovL2RpcmVjdHZsYS5jb20vYWNjZXNzZGQ=,Phishing,low
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/wEPDwUKMTYwODUyODg3MA9kFgICAQ9kFgYCAQ8WAh4EaHJlZgUbaHR0cDovL2RpcmVjdHZsYS5jb20vZW1wbGVvZAIDD2QWAgIBDxYCHgNzcmMFH2NvdW50cmllczIuYXNweD91cmxmcm9tPS9lbXBsZW9kAh8PFgIfAAUbaHR0cDovL2RpcmVjdHZsYS5jb20vZW1wbGVvZGS05asfqdwbQpNE5mFWVwkPa5LMew==,Phishing,low
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/wEPDwUKMTYwODUyODg3MA9kFgICAQ9kFgYCAQ8WAh4EaHJlZgUdaHR0cDovL2RpcmVjdHZsYS5jb20vbGlnYUJCVkFkAgMPZBYCAgEPFgIeA3NyYwUhY291bnRyaWVzMi5hc3B4P3VybGZyb209L2xpZ2FCQlZBZAIfDxYCHwAFHWh0dHA6Ly9kaXJlY3R2bGEuY29tL2xpZ2FCQlZBZGQ=,Phishing,low
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/wEPDwUKMTYwODUyODg3MA9kFgICAQ9kFgYCAQ8WAh4EaHJlZgUdaHR0cDovL2RpcmVjdHZsYS5jb20vbGlnYUJCVkFkAgMPZBYCAgEPFgIeA3NyYwUhY291bnRyaWVzMi5hc3B4P3VybGZyb209L2xpZ2FCQlZBZAIfDxYCHwAFHWh0dHA6Ly9kaXJlY3R2bGEuY29tL2xpZ2FCQlZBZGSdo7spQ5VpooYjWLhLUIyKazHf0Q==,Phishing,low
